These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	validated	validés	MacMaster		Allan	Conservative	Conservateur	20870	43.2	288	48566
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	validated	validés	Smyth		Ryan	People's Party - PPC	Parti populaire - PPC	333	.7	288	48566
12002	Cape Breton--Canso--Antigonish	Cape Breton--Canso--Antigonish	validated	validés	Wall		Rebecca	Independent	Indépendant(e)	237	.5	288	48566
12003	Central Nova	Nova-Centre	preliminary	préliminaires	Fraser		Sean	Liberal	Libéral	26179	52	0	50356
12003	Central Nova	Nova-Centre	preliminary	préliminaires	Jenkins		Brycen	Conservative	Conservateur	21506	42.7	0	50356
12003	Central Nova	Nova-Centre	preliminary	préliminaires	MacDonald		Jesiah	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1650	3.3	0	50356
12003	Central Nova	Nova-Centre	preliminary	préliminaires	MacEachern		Charlie	People's Party - PPC	Parti populaire - PPC	330	.7	0	50356
12003	Central Nova	Nova-Centre	preliminary	préliminaires	MacKenzie		Alexander	Independent	Indépendant(e)	236	.5	0	50356
12003	Central Nova	Nova-Centre	preliminary	préliminaires	Romsa		Gerald	Green Party	Parti Vert	455	.9	0	50356
12003	Central Nova	Nova-Centre	validated	validés	Fraser		Sean	Liberal	Libéral	26078	51.9	346	50559
12003	Central Nova	Nova-Centre	validated	validés	Jenkins		Brycen	Conservative	Conservateur	21465	42.7	346	50559
12003	Central Nova	Nova-Centre	validated	validés	MacDonald		Jesiah	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1649	3.3	346	50559
12003	Central Nova	Nova-Centre	validated	validés	MacEachern		Charlie	People's Party - PPC	Parti populaire - PPC	331	.7	346	50559
12003	Central Nova	Nova-Centre	validated	validés	MacKenzie		Alexander	Independent	Indépendant(e)	235	.5	346	50559
12003	Central Nova	Nova-Centre	validated	validés	Romsa		Gerald	Green Party	Parti Vert	455	.9	346	50559
12004	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Callaghan		Kelly-Ann	Green Party	Parti Vert	695	1.4	0	49651
12004	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Church		Paul	People's Party - PPC	Parti populaire - PPC	343	.7	0	49651
12004	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Duchesne		Larry	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1913	3.9	0	49651
