Constituency,Province / Territory,Honorific Title,First Name,Last Name,Political Affiliation
Mississauga—Lakeshore,Ontario,,Charles,Sousa,Liberal
Mississauga—Malton,Ontario,,Iqwinder,Gaheer,Liberal
Mississauga—Streetsville,Ontario,Hon.,Rechie,Valdez,Liberal
Moncton—Dieppe,New Brunswick,Hon.,Ginette,Petitpas Taylor,Liberal
Mont-Saint-Bruno—L'Acadie,Quebec,,Bienvenu-Olivier,Ntumba,Liberal
Montcalm,Quebec,,Luc,Thériault,Bloc Québécois
Montmorency—Charlevoix,Quebec,,Gabriel,Hardy,Conservative
Moose Jaw—Lake Centre—Lanigan,Saskatchewan,,Fraser,Tolmie,Conservative
Mount Royal,Quebec,,Anthony,Housefather,Liberal
Nanaimo—Ladysmith,British Columbia,,Tamara,Kronis,Conservative
Nepean,Ontario,Right Hon.,Mark,Carney,Liberal
New Tecumseth—Gwillimbury,Ontario,,Scot,Davidson,Conservative
New Westminster—Burnaby—Maillardville,British Columbia,,Jake,Sawatzky,Liberal
Newmarket—Aurora,Ontario,,Sandra,Cobena,Conservative
Niagara Falls—Niagara-on-the-Lake,Ontario,,Tony,Baldinelli,Conservative
Niagara South,Ontario,,Fred,Davies,Conservative
Niagara West,Ontario,,Dean,Allison,Conservative
Nipissing—Timiskaming,Ontario,,Pauline,Rochefort,Liberal
North Island—Powell River,British Columbia,,Aaron,Gunn,Conservative
North Vancouver—Capilano,British Columbia,Hon.,Jonathan,Wilkinson,Liberal
Northumberland—Clarke,Ontario,,Philip,Lawrence,Conservative
Northwest Territories,Northwest Territories,Hon.,Rebecca,Alty,Liberal
Notre-Dame-de-Grâce—Westmount,Quebec,Hon.,Anna,Gainey,Liberal
Nunavut,Nunavut,,Lori,Idlout,NDP
Oakville East,Ontario,Hon.,Anita,Anand,Liberal
Oakville West,Ontario,,Sima,Acan,Liberal
Okanagan Lake West—South Kelowna,British Columbia,,Dan,Albas,Conservative
Orléans,Ontario,,Marie-France,Lalonde,Liberal
Oshawa,Ontario,,Rhonda,Kirkland,Conservative
Ottawa Centre,Ontario,,Yasir,Naqvi,Liberal
Ottawa South,Ontario,Hon.,David,McGuinty,Liberal
Ottawa West—Nepean,Ontario,,Anita,Vandenbeld,Liberal
Ottawa—Vanier—Gloucester,Ontario,Hon.,Mona,Fortier,Liberal
Outremont,Quebec,Hon.,Rachel,Bendayan,Liberal
Oxford,Ontario,,Arpan,Khanna,Conservative
Papineau,Quebec,Hon.,Marjorie,Michel,Liberal
Parkland,Alberta,,Dane,Lloyd,Conservative
